"","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
0,"go-onm8hjtcdYLMQC_HAAAAAA==","google","https://www.jobi.ai/jobs/full-stack-developer-postgres-django-vue-js---3-7-yrs-bangalore-13237?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","full-stack-developer-postgres-django-vue-js---3-7-yrs-bangalore-13237","Mirus Solutions","Bengaluru, Karnataka","2024-12-01","","","","","","",False,"","","","","No job summary available.","","","","","","","",""
1,"go-smhMpxvPmgZKJxTrAAAAAA==","google","https://career.luxoft.com/jobs/java-full-stack-developer-with-react-js-9493?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Java Full Stack Developer with React JS","Luxoft","Bengaluru, Karnataka","2024-12-01","","","","","","",False,"","","","","Project description

Luxoft DXC Technology Company is an established company focusing on consulting and implementation of complex projects in the financial industry. At the interface been technology and business, we convince with our know-how, well-founded methodology and pleasure in success. As a reliable partner to our renowned customers, we support them in planning, designing and implementing the desired innovations. Together with the customer, we deliver top performance! For one of our clients in the Insurance segment, we are searching for a Java Full Stack Developer with React JS.

Responsibilities
• Delivering assigned tasks within the delivery cycle of an application development project. Tasks may include installing new systems applications; updating applications; performing configuration and testing activities; applications programming for assigned modules within a larger program.
• You will be working under supervision from the Technical lead/Project Manager or a Senior Developer to accomplish assigned tasks. At the same time contribute a design for specific deliverables and assist in the development of technical solutions.
• Job duties will include design, development and testing, using Java/J2EE technologies.
• Help maintain a rigorous software build and testing framework for continuous building and testing the developed software and keep track of failed builds or build issues.
• Prepare software technical documentation based on functional documentation and specifications, taking into account any specified functional and technical requirements.
• You will be part of a fast growing and exciting division whose culture is entrepreneurial, professional, rooted in teamwork and innovation.
• You will participate as part of a team and maintain good relationships with team members and customers.
• You are expected to work within an international environment, using a broad set of technologies and frameworks.

SKILLS

Must have
• - 3+ years of really good hands on experience as Java Full Stack developer working on enterprise level application design and development.
- Expertise in Java 8, J2EE, Spring MVC Frameworks, Spring Boot, Git, Jenkins, PL-SQL.
- Very good experience working on React JS along with Java.
- Familiarity with Angular 7 and above, HTML/CSS, JavaScript, Bootstrap.
- Excellent knowledge of software and application design and architecture.
- Excellent communication skills.
- Problem-solving aptitude.
- Write unit test cases for code to ensure stability.

Nice to have

Insurance industry experience.","","","","","","","",""
2,"go-BW3WhjgdNiu0ARQgAAAAAA==","google","https://jobs.gecareers.com/global/en/job/R3789792/Sr-Software-Engineer-Java-FullStack?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Sr Software Engineer- Java FullStack","GE","Bengaluru, Karnataka","2024-12-01","","","","","","",False,"","","","","Job Description Summary
Responsible for programing a component, feature and or feature set. Works independently and contributes to the immediate team and to other teams across business. You will also contribute to design discussions.

Job Description

Roles and Responsibilities

In this role, you will:
• Be responsible for defining, developing, and evolving software in a fast paced and agile development environment using the latest software development technologies and infrastructure
• Provide technical leadership to an agile team of 5-7
• Strong with Java, Spring boot tech stack. Ability to learn quickly on Data science, AI/ML implementations.

• Hands on experience with Angular/React with strong JavaScript, typescript and UI tech stack.
• Translate requirements / vision into prioritized list of user stories and deliver to required timelines and quality standards
• Drive increased efficiency across the teams, eliminating duplication, leveraging product and technology reuse
• Support process improvements which guide the development, sustaining & support activities
• Work cross functionally with other business departments to align activities and deliverables
• Drive world-class quality in the development and support of products
• Ensure team receives consistent messages and has clear understanding of business direction, strategy and results
• Engage subject matter experts in successful transfer of complex domain knowledge
• Apply principles of SDLC and methodologies like Lean/Agile/XP, CI, Software and Product Security, Scalability, Documentation Practices, refactoring and Testing Techniques
• Write code that meets standards and delivers desired functionality using the technology selected for the project
• Understand performance parameters and assess application performance
• Work on core data structures and algorithms and implement them using technology chosen
• Proactively share information across the team, to the right audience with the appropriate level of detail and timeliness

Education Qualification

For roles outside USA:

Bachelor's Degree in Computer Science or “STEM” Majors (Science, Technology, Engineering and Math) with advanced experience.

For roles in USA: Bachelor's Degree in Computer Science or “STEM” Majors (Science, Technology, Engineering and Math) with minimum years of experience4years

Desired Characteristics Technical Expertise:
• Master's Degree/ PHD in Computer Science
• Experience with Windows and Unix / Linux based programming
• Experience working on software projects in the Energy domain (Energy Management, Oil & Gas, Power & Water)
• Certified Scrum Master and/or Product Owner
Business Acumen:

• Demonstrates the initiative to explore alternate technology and approaches to solving problems
• Skilled in breaking down problems, documenting problem statements and estimating efforts
• Demonstrates awareness about competitors and industry trends
• Has the ability to analyze impact of technology choices

Leadership:

• Ability to takes ownership of small and medium sized tasks and deliver while mentoring and helping team members
• Ensures understanding of issues and presents clear rationale. Able to speak to mutual needs and win-win solutions. Uses two-way communication to influence outcomes and ongoing results
• Identifies misalignments with goals, objectives, and work direction against the organizational strategy. Makes suggestions to course correct
• Continuously measures deliverables of self and team against scheduled commitments. Effectively balances different, competing objectives
Personal Attributes:
• Strong oral and written communication skills
• Strong interpersonal skills
• Effective team building and problem solving abilities
• Persists to completion, especially in the face of overwhelming odds and setbacks. Pushes self for results; pushes others for results through team spirit

Note

Note:
To comply with US immigration and other legal requirements, it is necessary to specify the minimum number of years' experience required for any role based within the USA. For roles outside of the USA, to ensure compliance with applicable legislation, the JDs should focus on the substantive level of experience required for the role and a minimum number of years should NOT be used.

Additional Job Description

Additional Information

Compensation Grade

LPB2

Relocation Assistance Provided: Yes","","","","","","","",""
3,"go-lwhpI6uT6Jp-BKbiAAAAAA==","google","https://in.linkedin.com/jobs/view/java-net-fullstack-developer-at-harp-4084728471?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Java/.Net Fullstack Developer","HARP","Bengaluru, Karnataka","2024-11-29","","","","","","",False,"","","","","Role - Java/ .Net Developer

Exp - 5+ Years

Location - Pan India

Notice period - 1 Month

JD -

Full Stack Developer (Java/.NET & React/Angular) Experience: 5-8 years Location: Pune/Mumbai/Bangalore/Chennai/Hyderabad/Kolkata/Noida (Hybrid) Preferred Cloud Experience: Azure, AWS, or Google Cloud Job Description: We are seeking an experienced Full Stack Developer proficient in backend technologies like Java or .NET and frontend frameworks such as React or Angular. The ideal candidate will have expertise in building scalable applications, integrating various cloud services, and collaborating in an Agile environment. You will be responsible for delivering end-to-end solutions, ensuring high-quality code and seamless functionality across both backend and frontend systems. Key Responsibilities: Develop and maintain robust, scalable applications using either Java (Spring Boot) or .NET (ASP.NET Core) for backend development. Design and build modern user interfaces using frontend frameworks like React or Angular. Collaborate with cross-functional teams to define, design, and ship new features. Build and consume RESTful APIs and manage data using databases such as MySQL, PostgreSQL, or SQL Server. Develop and maintain unit tests, integration tests, and ensure code quality through test-driven development (TDD) practices. Implement responsive design for web applications and ensure seamless user experiences across multiple devices and browsers. Optimize performance and scalability of web applications. Integrate with cloud services and deploy applications using Azure, AWS, or Google Cloud. Participate in code reviews and Agile ceremonies (standups, sprint planning, retrospectives). Troubleshoot production issues and provide timely resolutions. Stay up-to-date with the latest industry trends and technologies. Required Skills & Qualifications: Proficiency in either Java with Spring Boot or C# with ASP.NET Core for backend development. Strong experience in frontend technologies like React, Angular, HTML5, CSS3, and JavaScript (ES6+). Experience with databases such as MySQL, PostgreSQL, SQL Server, or NoSQL databases like MongoDB. Experience with version control systems such as Git and CI/CD pipelines using tools like Jenkins, Azure DevOps, or GitLab CI. Familiarity with Docker and Kubernetes for containerization and orchestration. Experience in cloud platforms such as Azure, AWS, or Google Cloud for deployment and infrastructure management. Strong understanding of microservices architecture and designing scalable applications. Knowledge of API development and consumption with REST or GraphQL. Experience with Agile methodologies and tools like Jira or Trello for project management. Excellent problem-solving and troubleshooting skills. Preferred Skills: Experience with cloud-native tools like Kubernetes, Azure App Services, or AWS Lambda. Knowledge of frontend testing frameworks like Jest, Cypress, or Karma. Understanding of DevOps practices and tools such as Terraform, Ansible, or Chef. Familiarity with frontend state management libraries such as Redux (for React) or NgRx (for Angular). Experience in performance optimization and web security best practices.","","","","","","","",""
4,"go-xoVDkQDigsTLC_DsAAAAAA==","google","https://jobs.exxonmobil.com/ExxonMobil/job/Bengaluru-Surveillance-&-Optimization-Full-stack-developer-KA/1237424700/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Surveillance & Optimization-Full stack developer","ExxonMobil","Bengaluru, Karnataka","2024-11-28","","","","","","",False,"","","","","About us

At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for.

The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our strategy in energy, chemicals, lubricants and lower-emissions technologies.

We invite you to bring your ideas to ExxonMobil to help create sustainable solutions that improve quality of life and meet society’s evolving needs. Learn more about our What and our Why and how we can work together.

ExxonMobil’s affiliates in India

ExxonMobil’s affiliates have offices in India in Bengaluru, Mumbai and the National Capital Region.

ExxonMobil’s affiliates in India supporting the Product Solutions business engage in the marketing, sales and distribution of performance as well as specialty products across chemicals and lubricants businesses. The India planning teams are also embedded with global business units for business planning and analytics.

ExxonMobil’s LNG affiliate in India supporting the upstream business provides consultant services for other ExxonMobil upstream affiliates and conducts LNG market-development activities.

The Global Business Center - Technology Center provides a range of technical and business support services for ExxonMobil’s operations around the globe.

ExxonMobil strives to make a positive contribution to the communities where we operate and its affiliates support a range of education, health and community-building programs in India. Read more about our Corporate Responsibility Framework.

To know more about ExxonMobil in India, visit ExxonMobil India and the Energy Factor India.

What role you will play in our team

The Research Application Development (RAD) team in the Surveillance & Optimization space works directly with Research Technology Development team within Upstream Integrated Solutions to help develop and commercialize research solutions for ExxonMobil’s reservoir and production engineers. Work involves the acquisition, data transformation, and visualization of real-time field/reservoir production information, used by production/reservoir engineers to make real-time field adjustments to better understand field conditions and maximize production. Specifically, RAD developers would be developing a flexible framework for rapid development and delivery of algorithms that help Upstream assets improve reservoir surveillance and optimize production and facilitate with DevOps tasks to smooth out support and usage of the tool by support and business users.

Job location is based out of Bangalore, Karnataka.

What you will do
• Develop R&D proprietary applications directed at the solution of science and engineering problems in the Upstream oil & gas sector.
• Maintain, enhance and provide technical support for internally developed geoscience and engineering applications.
• Surveillance & Optimization full stack developer would be developing a flexible framework for rapid development and delivery of algorithms that help Upstream assets improve reservoir surveillance and optimize production and facilitate with DevOps tasks to smooth out support and usage of the tool by support and business users.

About You

Skills and Qualifications
• Must have programming experience on Windows and/or UNIX.
• Must have 7 years of hands on experience developer experience.
• Must have hands on experience working in Azure.
• Bachelor’s or master’s degree in Computer Science or related field with a minimum GPA of 7.0
• Must have an experience in working in a or leading a research program.
• Must have strong skills and experience in several of the following:
• *

Languages: C#, SQL, Python, Angular (release 13 and above)
• Databases: SQL Server, Azure SQL, NoSQL
• *
• Toolkits: Visual Studio, .NET(Core, .NET 5 and above), Visual Code, Anaconda

Cloud/Microservices: Cloud Native Development, Web APIs, gRPC services, Containerization.
• Azure Services: Azure SQL, Azure Virtual Machine, Key vault, App Insights, App Registration, Modern Authentication, Function & Logic Apps
• DevOps: Azure DevOps, GitHub Action, YAML, Terraform.
• General Software development concepts: GIT, IIS configuration
• Other: Object Oriented Analysis & Design, Software Development Methodologies (e.g. Agile), Source Control, Software Architecture, Azure Microservices, API gateways, High Performance Computing and Parallel Programming, Configuration Management, Debugging Tools, XML, Usability, ergonomics and user experience.
• Agile work knowledge.
• Flexible for business travel (if required).

Preferred Qualifications/ Experience
• Cloud/Microservices: Cloud Native Development, Web APIs, gRPC services, Containerization.
• Azure Services: Azure SQL, Azure Virtual Machine, Key vault, App Insights, App Registration, Modern Authentication, Function & Logic Apps
• DevOps: Azure DevOps, GitHub Action, YAML, Terraform.
• General Software development concepts: GIT, IIS configuration
• Other: Object Oriented Analysis & Design, Software Development Methodologies (e.g. Agile), Source Control, Software Architecture, Azure Microservices, API gateways, High Performance Computing and Parallel Programming, Configuration Management, Debugging Tools, XML, Usability, ergonomics and user experience.
• Agile work knowledge.
• Flexible for business travel (if required).

Your benefits

An ExxonMobil career is one designed to last. Our commitment to you runs deep: our employees grow personally and professionally, with benefits built on our core categories of health, security, finance and life. We offer you:
• Competitive compensation
• Medical plans, maternity leave and benefits, life, accidental death and dismemberment benefits
• Retirement benefits
• Global networking & cross-functional opportunities
• Annual vacations & holidays
• Day care assistance program
• Training and development program
• Tuition assistance program
• Workplace flexibility policy
• Relocation program
• Transportation facility

Please note benefits may change from time to time without notice, subject to applicable laws. The benefits programs are based on the Company’s eligibility guidelines.

Stay connected with us
• Learn more about ExxonMobil in India, visit ExxonMobil India and Energy Factor India.
• Follow us on LinkedIn and Instagram
• Like us on Facebook
• Subscribe our channel at YouTube

EEO Statement

ExxonMobil is an Equal Opportunity Employer:

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin or disability status.

Business solicitation and recruiting scams

ExxonMobil does not use recruiting or placement agencies that charge candidates an advance fee of any kind (e.g., placement fees, immigration processing fees, etc.). Follow the LINK to understand more about recruitment scams in the name of ExxonMobil.

Nothing herein is intended to override the corporate separateness of local entities. Working relationships discussed herein do not necessarily represent a reporting connection, but may reflect a functional guidance, stewardship, or service relationship.

Exxon Mobil Corporation has numerous affiliates, many with names that include ExxonMobil, Exxon, Esso and Mobil. For convenience and simplicity, those terms and terms like corporation, company, our, we and its are sometimes used as abbreviated references to specific affiliates or affiliate groups. Abbreviated references describing global or regional operational organizations and global or regional business lines are also sometimes used for convenience and simplicity. Similarly, ExxonMobil has business relationships with thousands of customers, suppliers, governments, and others. For convenience and simplicity, words like venture, joint venture, partnership, co-venturer, and partner are used to indicate business relationships involving common activities and interests, and those words may not indicate precise legal relationships.

Nothing herein is intended to override the corporate separateness of local entities. Working relationships discussed herein do not necessarily represent a reporting connection, but may reflect a functional guidance, stewardship, or service relationship.

Exxon Mobil Corporation has numerous affiliates, many with names that include ExxonMobil, Exxon, Esso and Mobil. For convenience and simplicity, those terms and terms like corporation, company, our, we and its are sometimes used as abbreviated references to specific affiliates or affiliate groups. Abbreviated references describing global or regional operational organizations and global or regional business lines are also sometimes used for convenience and simplicity. Similarly, ExxonMobil has business relationships with thousands of customers, suppliers, governments, and others. For convenience and simplicity, words like venture, joint venture, partnership, co-venturer, and partner are used to indicate business relationships involving common activities and interests, and those words may not indicate precise legal relationships.","","","","","","","",""
5,"go-bD89qr8QbsRVBRUmAAAAAA==","google","https://jobs.sap.com/job/Bangalore-Full-Stack-Developer-Cloud-560066/1112195801/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Full Stack Developer - Cloud","SAP","Bengaluru, Karnataka","2024-11-28","fulltime","","","","","",False,"","","","Careers@sap.com","We help the world run better

At SAP, we enable you to bring out your best. Our company culture is focused on collaboration and a shared passion to help the world run better. How? We focus every day on building the foundation for tomorrow and creating a workplace that embraces differences, values flexibility, and is aligned to our purpose-driven and future-focused work. We offer a highly collaborative, caring team environment with a strong focus on learning and development, recognition for your individual contributions, and a variety of benefit options for you to choose from.

What you’ll do

What you Bring

Meet your Team

SAP Customer Innovation Services Engineering (Previously known as Innovative Business Solutions (IBSO)) is a global organization dedicated to delivering innovative solutions to meet our customers’ unique business process needs. We deliver a full lifecycle of customer specific development services – from strategic planning, risk assessment, development, and quality assurance to maintenance. With development centers in the United States, Brazil, Germany, Ireland, and India, we leverage a global delivery model.

Our vision is to become the premier strategic RISE with SAP enabler, driving accelerated innovation and technology adoption leveraging the SAP Business Technology Platform, focusing on a clean core approach.

#DevT2

​Bring out your best

SAP innovations help more than four hundred thousand customers worldwide work together more efficiently and use business insight more effectively. Originally known for leadership in enterprise resource planning (ERP) software, SAP has evolved to become a market leader in end-to-end business application software and related services for database, analytics, intelligent technologies, and experience management. As a cloud company with two hundred million users and more than one hundred thousand employees worldwide, we are purpose-driven and future-focused, with a highly collaborative team ethic and commitment to personal development. Whether connecting global industries, people, or platforms, we help ensure every challenge gets the solution it deserves. At SAP, you can bring out your best.

We win with inclusion

SAP’s culture of inclusion, focus on health and well-being, and flexible working models help ensure that everyone – regardless of background – feels included and can run at their best. At SAP, we believe we are made stronger by the unique capabilities and qualities that each person brings to our company, and we invest in our employees to inspire confidence and help everyone realize their full potential. We ultimately believe in unleashing all talent and creating a better and more equitable world.

SAP is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to the values of Equal Employment Opportunity and provide accessibility accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with SAP and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team: Careers@sap.com

For SAP employees: Only permanent roles are eligible for the SAP Employee Referral Program, according to the eligibility rules set in the SAP Referral Policy. Specific conditions may apply for roles in Vocational Training.

EOE AA M/F/Vet/Disability:

Qualified applicants will receive consideration for employment without regard to their age, race, religion, national origin, ethnicity, age, gender (including pregnancy, childbirth, et al), sexual orientation, gender identity or expression, protected veteran status, or disability.

Successful candidates might be required to undergo a background verification with an external vendor.

Requisition ID: 401842 | Work Area: Software-Design and Development | Expected Travel: 0 - 10% | Career Status: Professional | Employment Type: Regular Full Time | Additional Locations: #LI-Hybrid.

Job Segment:
ERP, Cloud, QA, Quality Assurance, Developer, Technology, Quality","","","","","","","",""
6,"go-rFFFI_EstKcsfwgSAAAAAA==","google","https://in.linkedin.com/jobs/view/fullstack-developer-java-at-sedin-technologies-4087099543?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Fullstack Developer (Java)","Sedin Technologies","Bengaluru, Karnataka","2024-11-28","","","","","","",False,"","","","","Sedin is seeking a passionate and collaborative JAVA Full-Stack Developer to join our growing team! In this role, you'll play a key part in helping us untangle our clients' business challenges through innovative web applications.

Responsibilities
• Work closely with internal and external teams to understand client challenges and co-create robust applications.
• Design, develop, test, deploy, and optimize web applications using any of the above-mentioned technologies (Ruby/Golang/Python/Node/Java/. Net), taking full ownership of the development lifecycle.
• You will collaborate with a variety of people to build features, design concepts, and interactive prototypes and ensure best practices and UX specifications are embedded along the way.
• Identify and troubleshoot client issues proactively, ensuring a seamless user experience and exceeding expectations.
• Contribute to a well-structured, maintainable codebase with a focus on reusability and efficiency.
• You will learn and adopt best practices like writing clean and reusable code using TDD, pair programming, and design patterns.
• You will use and advocate for continuous delivery practices to deliver high-quality software as well as value to customers as early as possible.

Requirements
• 5+ years of experience delivering high-quality web applications.
• You have strong expertise in any of the above-mentioned languages, web framework, API design, and system and architecture design.
• Experience with relational databases like PostgreSQL, or MySQL is essential.
• Possesses a solid understanding of OOP concepts, data structures, algorithms, APIs, web services, SOLID principles, and SQL.
• Experience with a JavaScript framework (e. g., AngularJS, ReactJS, VueJS, Svelte) is a plus.
• Proficiency in version control tools (Git/SVN) is required.
• Demonstrate empathy for client needs and a passion for crafting custom solutions that address their unique challenges.

This job was posted by Mubeen Fathima from Sedin Technologies.","","","","","","","",""
7,"go-vzX_9c21flrHxv_jAAAAAA==","google","https://jobs.intuit.com/job/bengaluru/software-engineer-2-full-stack/27595/69732163440?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer 2 - Full-Stack","Intuit","Bengaluru, Karnataka","2024-11-28","","","","","","",False,"","","","","Collaboration platform is a key capability of the VEP platform. Collaboration capabilities connect people to experts on devices and communication channels that meets their preferences. Working to proactively understand the customer’s intent, these capabilities deliver a seamless, personalized experience, serving up options for collaboration that are customized to their needs and preferences. Our ability to efficiently connect people with the expertise they desire builds trusted relationships and contributes to our competitive advantage in the industry. We are looking for a talented individual who is passionate about collaboration platform and wants to be a part of our journey to revolutionize the industry. As a member of our team, you will have the opportunity to work with cutting-edge technology and contribute to the development of innovative features that will shape the future of collaboration. Join us and be a part of something truly ground-breaking.

Responsibilities
Responsibilities
• Successful delivery of high quality web software (requirements, design, code, documentation, etc.)
• Roughly 80-95% hands-on coding
• Contribute to early quality activities, including peer reviews of estimates, designs and code
• Resolve defects/bugs during QA testing, pre-production, production, and post-release patches
• Partner effectively with all team members to deliver against commitments
• Work cross-functionally with various Intuit teams: product management, QA/QE, various product lines, or business units to drive forward results
• Commitment to team success and positive team dynamics
• Passion for growing and applying technical skills in service to customers
• Experience with Agile Development, SCRUM, and/or Extreme Programming methodologies","","","","","","","",""
8,"go-uYjVlP3mVZcHDJYEAAAAAA==","google","https://www.postman.com/company/careers/software-engineer-ii-full-stack-monitoring-5854487003/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Software Engineer II (Full stack), Monitoring - Bangalore","Postman","Bengaluru, Karnataka","2024-11-28","","","","","","",True,"","","","","Postman is the world's leading collaboration platform for API development. Postman's features simplify each step of building an API & streamline collaboration to help create better APIs—faster. More than 35 million developers & 500,000 organizations worldwide use Postman today, and we continue to strive humbly towards our mission of 100 million connected developers & serving companies as they seek to innovate in an API-first world. Our customers are doing more and more astounding things with the Postman product every day, and as a result, we are growing rapidly.
We highly recommend reading The ""API-First World"" graphic novel to understand the bigger picture & our vision at Postman.
About the team & role:
The “Automation Testing” team at Postman is responsible for a set of products designed to help users test their APIs, manually and otherwise. This means there are a wide range of problems to solve – from a globally distributed system capable of executing hundreds of thousands of collections, to a browser-based client capable of running hours-long jobs, to CLI tools used to test production-grade APIs. The team primarily operates in an asynchronous manner, leveraging tools like Slack, Jira, and Confluence to stay on the same page. There is usually only one recurring meeting for the team every week, though team members can choose to work synchronously when appropriate.
Engineers on the team are encouraged to operate across the stack instead of siloing themselves into “frontend-only” or “backend-only” modes of operation. Folks do tend to specialize in whatever they find interesting, but are perfectly capable of building quality products by themselves as well. Everyone is expected to understand that, while part of the job is to write code, their actual responsibility is to build a great product and experience. This entails working hand-in-hand with everyone outside of Engineering, taking ownership of the product and experience as a whole.
Day-to-day work:

This is a hybrid role where you’re expected to work out of Postman’s Bangalore office three days a week – Monday, Wednesday, and Friday. The team is distributed across three timezones, however, and the working model is an asynchronous, remote-first model.

Folks have a fair amount of control over their work schedule and tend to start and end their days at different times. This also means that a rigid sprint/scrum/agile model with daily stand-ups doesn’t work well – so we’ve adopted a more flexible model. In simple terms, everyone starts their day with the next milestone in mind, gets a sense of what the rest of the team is aiming to achieve, and figures out what they can contribute.

There’s a lot of written work that happens – engineering specifications, implementation documents, and, of course, pull requests. Most of the time in a day will likely be spent on technical design, discussion, and writing. Coding tends to be the fastest and easiest part, since it happens once everyone has a clear enough idea of what to write.

Part of the day goes towards engaging with users on platforms like Github or Discourse. This could be as simple as answering basic questions users might have, or addressing specific issues and pushing bug fixes. These interactions tend to inform the decisions we make as a team, so these are important!

While we engineer solutions to the best of our abilities, it’s inevitable that things go wrong once in a while. Participating in the on-call rotation is an important part of everyone’s role, and tends to take up 2 weeks every two months or so, with one week as the secondary on-call and another week as the primary.

About You:

At least 3 years of professional experience in the field. This is not an entry level role and you’re expected to have mastery over the basic operational aspects of software engineering, along with some exposure to building and maintaining production-grade products. There are no strict language or framework requirements, but you will have to get familiar with Javascript, React, Node.js, and adjacent tech to succeed in this role. Of course, you’ll have a whole team helping you learn, so this shouldn’t be a huge concern.

Familiarity across the stack, or an enthusiastic attitude to fill in your knowledge gaps. The team is already capable of building great products without being siloed into “frontend”, “backend”, etc. roles, and the expectation remains the same for this role.

You have empathy for the end users and your teammates (living things in general, really). This reflects in how usable your product is, how you write your code, and how you work with others.","","","","","","","",""
9,"go--G4YbZLLNZf2pjJ0AAAAAA==","google","https://in.linkedin.com/jobs/view/full-stack-developer-node-react-at-aquasoft-4084621950?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","","Full Stack Developer / Node / React","AQUASoft","Bengaluru, Karnataka","2024-11-28","","","","","","",False,"","","","","Company Description

AQUASoft is a software development company that specializes in creating custom-made products and software solutions for various clients, including Fortune 500 giants and medium-sized businesses. Our team of highly skilled and experienced software engineers across two continents utilize the latest frameworks and state-of-the-art technologies to build robust, scalable, secure software solutions.

Responsibilities

We are looking for talented individuals to join our team as Full Stack Developers in full-time, hybrid roles at AQUASoft in Bengaluru.

As a Full Stack Developer, you will work on both front-end and back-end web development, utilizing frontend (React.js) and backend (Node.js) frameworks to support a leading trading platform in a rapidly growing industry.

Qualifications
• Minimum of 3-5 years of hands-on experience in Full Stack MERN development.
• Strong React.js experience.
• Extensive experience with Node.js.
• Solid knowledge of PostgreSQL.
• Strong expertise in Data Science, Data Modelling, and ETL.
• Nice-to -have knowledge of AWS, CI/CD, Git, MongoDB etc.
• Proficiency in English at an advanced level.
• Bachelor's degree in Computer Science or related field,

AQUASoft is an equal opportunity employer. We invest in people, and we make hiring decisions based solely on qualifications, skills, and business needs.","","","","","","","",""
