"","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
0,"gd-1009543013408","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009543013408","","Full Stack Engineer (Python) - Bangalore - Hybrid","Broadridge","Bengaluru","2024-11-27","","direct_data","yearly",480000.0,590000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE42559.htm","https://media.glassdoor.com/sql/42559/broadridge-squareLogo-1656685788970.png","","","","",""
1,"gd-1009543133503","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009543133503","","Software Developer","Oracle","Bengaluru","2024-11-27","","direct_data","yearly",700000.0,850000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1737.htm","https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png","","","","",""
2,"gd-1009543149733","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009543149733","","Full Stack Developer (Angular & Java) - Mid Level","Chimera Technologies","Bengaluru","2024-11-27","","direct_data","yearly",390000.0,390000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE466223.htm","https://media.glassdoor.com/sql/466223/chimera-technologies-squareLogo-1710156779427.png","","","","",""
3,"gd-1009543187485","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009543187485","","Mid level Java-Angular Full stack developer","CGI","Bengaluru","2024-11-27","","direct_data","yearly",660000.0,950000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8452.htm","https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png","","","","",""
4,"gd-1009543095428","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009543095428","","Application Architect","Wipro Limited","Bengaluru","2024-11-27","","direct_data","yearly",453000.0,840000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE9936.htm","https://media.glassdoor.com/sql/9936/wipro-squareLogo-1670620181456.png","","","","",""
5,"gd-1009542461376","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009542461376","","Application Developer","Accenture","Bengaluru","2024-11-27","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4138.htm","https://media.glassdoor.com/sql/4138/accenture-squareLogo-1709650590794.png","","","","",""
6,"gd-1009542405396","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009542405396","","Software Developer","Oracle","Bengaluru","2024-11-27","","direct_data","yearly",700000.0,850000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1737.htm","https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png","","","","",""
7,"gd-1009542461681","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009542461681","","Application Developer","Accenture","Bengaluru","2024-11-27","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4138.htm","https://media.glassdoor.com/sql/4138/accenture-squareLogo-1709650590794.png","","","","",""
8,"gd-1009543187502","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009543187502","","Angular Developer-(6-8 Years)","CGI","Bengaluru","2024-11-27","","direct_data","yearly",512500.0,812500.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8452.htm","https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png","","","","",""
9,"gd-1009542603985","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009542603985","","Java Full Stack Developer","AK Infotech","Bengaluru","2024-11-27","","direct_data","yearly",1000000.0,1000000.0,"INR",False,"","","organic","","","","","","","","","",""
10,"gd-1009542775198","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009542775198","","Python Full Stack Developer","IOSys Software India Private Limited","India","2024-11-27","","direct_data","yearly",1400000.0,1700000.0,"INR",False,"","","organic","","","","","","","","","",""
11,"gd-1009542111597","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009542111597","","Software Developer Specialist - .Net Full stack","NASDAQ","Bengaluru","2024-11-27","","direct_data","yearly",329000.0,540000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE12152.htm","https://media.glassdoor.com/sql/12152/nasdaq-squarelogo-1522690440241.png","","","","",""
