"","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
0,"gd-1009551021992","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551021992","","React Js Developer","Sketch Brahma Technologies","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4555275.htm","https://media.glassdoor.com/sql/4555275/sketch-brahma-technologies-squarelogo-1629357068666.png","","","","",""
1,"gd-1009550826434","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550826434","",".NET Developer","Bosch Group","Bengaluru","2024-12-04","","direct_data","yearly",460000.0,640000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4293.htm","https://media.glassdoor.com/sql/4293/robert-bosch-llc-squarelogo-1479310824097.png","","","","",""
2,"gd-1009551084257","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551084257","","SWE-3 (Front End)","WorkSpan","Bengaluru","2024-12-04","","direct_data","yearly",566000.0,1000000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1427456.htm","https://media.glassdoor.com/sql/1427456/workspan-squarelogo-1589612911270.png","","","","",""
3,"gd-1009551038826","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551038826","","SE-React","CGI","Bengaluru","2024-12-04","","direct_data","yearly",300000.0,630000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8452.htm","https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png","","","","",""
4,"gd-1009551021978","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551021978","","Java Developer","Sketch Brahma Technologies","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4555275.htm","https://media.glassdoor.com/sql/4555275/sketch-brahma-technologies-squarelogo-1629357068666.png","","","","",""
5,"gd-1009552281130","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552281130","","Quality Assurance Tester","InfoEnum Software Systems","Bengaluru","2024-12-04","","direct_data","yearly",300000.0,600000.0,"INR",False,"","","organic","","","","","","","","","",""
6,"gd-1009551319319","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551319319","","Application Developer","Accenture","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4138.htm","https://media.glassdoor.com/sql/4138/accenture-squareLogo-1709650590794.png","","","","",""
7,"gd-1009551038823","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551038823","","ReactJS Developer","CGI","Bengaluru","2024-12-04","","direct_data","yearly",587430.0,656180.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8452.htm","https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png","","","","",""
8,"gd-1009552193249","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552193249","","PL/SQL Developer Pentaho","Advansoft","Bengaluru","2024-12-04","","direct_data","yearly",1500000.0,2200000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE290941.htm","https://media.glassdoor.com/sql/290941/advansoft-international-squarelogo.png","","","","",""
9,"gd-1009551069515","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551069515","","Dot Net Developer","EDNUE TECHNOLOGIES PRIVATE LIMITED","Bengaluru","2024-12-04","","direct_data","monthly",18000.0,18000.0,"INR",False,"","","organic","","","","","","","","","",""
10,"gd-1009550818554","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550818554","","Backend Developer-Support Engineer","Bosch Group","Bengaluru","2024-12-04","","direct_data","yearly",530000.0,700000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4293.htm","https://media.glassdoor.com/sql/4293/robert-bosch-llc-squarelogo-1479310824097.png","","","","",""
11,"gd-1009550947560","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550947560","","Backend Lead","Ekaga Futuristics Private Limited","Bengaluru","2024-12-04","","direct_data","yearly",2200000.0,3000000.0,"INR",False,"","","organic","","","","","","","","","",""
12,"gd-1009551312740","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551312740","","Application Developer MuleSoft","Her Second Innings","Bengaluru","2024-12-04","","direct_data","yearly",440000.0,600000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2855868.htm","https://media.glassdoor.com/sql/2855868/her-second-innings-squarelogo-1566982670437.png","","","","",""
13,"gd-1009552067657","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552067657","","Mendix Developer","Xanika Infotech","Bengaluru","2024-12-04","","direct_data","yearly",400000.0,1000000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8556934.htm","","","","","",""
14,"gd-1009550762942","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550762942","","Developer","Sapiens","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3798.htm","https://media.glassdoor.com/sql/3798/sapiens-squareLogo-1655730847376.png","","","","",""
15,"gd-1009550851135","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550851135","","Front End Developer","Talenlio","Bengaluru","2024-12-04","","direct_data","yearly",1600000.0,1600000.0,"INR",False,"","","organic","","","","","","","","","",""
16,"gd-1009552018585","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552018585","","Mendix Developer","Insight Business Reengineering","Bengaluru","2024-12-04","","direct_data","yearly",1500000.0,1500000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE7759980.htm","https://media.glassdoor.com/sql/7759980/insight-business-reengineering-squarelogo-1662615416748.png","","","","",""
17,"gd-1009551980904","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551980904","","MEAN Developer","ailoitte","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4327954.htm","https://media.glassdoor.com/sql/4327954/ailoitte-squareLogo-1692181246392.png","","","","",""
18,"gd-1009552086995","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552086995","","Java Developer","Euphoric Thought Technologies Pvt Ltd","Bengaluru","2024-12-04","","direct_data","yearly",300000.0,1200000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3271757.htm","https://media.glassdoor.com/sql/3271757/euphoric-thought-squarelogo-1636368011931.png","","","","",""
19,"gd-1009551553896","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551553896","","Java Spring Boot Developer","Terralogic Solutions Inc","India","2024-12-04","","direct_data","yearly",800000.0,1600000.0,"INR",False,"","","organic","","","","","","","","","",""
20,"gd-1009551759168","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551759168","","QA Analyst","WellnessLiving","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3250985.htm","https://media.glassdoor.com/sql/3250985/wellnessliving-squareLogo-1627051805726.png","","","","",""
21,"gd-1009550877682","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550877682","","Node Lead Developer- Backend","Lilly","Bengaluru","2024-12-04","","direct_data","yearly",777000.0,909000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE223.htm","https://media.glassdoor.com/sql/223/eli-lilly-squarelogo.png","","","","",""
22,"gd-1009552039936","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552039936","","Unreal Developer","Workfreaks Corporate Services Private Limited","Bengaluru","2024-12-04","","direct_data","yearly",700000.0,800000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2159670.htm","https://media.glassdoor.com/sql/2159670/workfreaks-squarelogo-1548756517580.png","","","","",""
23,"gd-1009550870609","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550870609","","Associate Application Developer - Salesforce Retail","MillerKnoll","Bengaluru","2024-12-04","","direct_data","yearly",416000.0,750000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE6714472.htm","https://media.glassdoor.com/sql/6714472/millerknoll-squarelogo-1650457611258.png","","","","",""
24,"gd-1009551055974","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551055974","","ChatGPT developer 1","Marlabs","Bengaluru","2024-12-04","","direct_data","yearly",350000.0,780000.0,"INR",False,"","","organic","","**Date:** Dec 3, 2024
**Location:**Bangalore, IN
**Company:** Marlabs Innovations Pvt Ltd
**Description:****Exp: Minimum 2 yrs of experience with ChatGPT, overall 5\\-8 years of experience**
Job Description: ChatGPT Developer
Position Overview:  

We are seeking a skilled and innovative **ChatGPT Developer** to design, implement, and optimize conversational AI solutions. The ideal candidate will have a strong background in AI/ML, natural language processing (NLP), and software development. You will work closely with cross\\-functional teams to create and enhance ChatGPT\\-based applications tailored to meet business and user needs.
Key Responsibilities:
* **Model Integration and Optimization:**
	Implement and fine\\-tune ChatGPT models to suit specific business use cases. Customize prompts, training data, and outputs to ensure relevance and accuracy. Continuously improve model performance through feedback loops and A/B testing.
* **Application Development:**
	Develop user\\-friendly interfaces and APIs for ChatGPT integration. Build and maintain scalable backend systems to support conversational AI deployments. Collaborate with front\\-end developers to create seamless user experiences.
* **Data Management:**
	Curate, preprocess, and manage datasets for model training and evaluation. Ensure data quality, privacy, and security compliance in all processes.
* **Collaboration and Support:**
	Work with product managers, UX designers, and stakeholders to understand requirements. Provide technical support and troubleshooting for ChatGPT\\-powered applications.
* **Research and Innovation:**
	Stay updated on the latest advancements in conversational AI and NLP. Experiment with emerging AI technologies to propose and implement innovative solutions.
Required Qualifications:
Bachelor’s or master’s degree in computer science, Artificial Intelligence, or a related field. Experience with OpenAI’s GPT models or other large language models (LLMs). Proficiency in programming languages like Python, JavaScript, or Java. Hands\\-on experience with frameworks such as TensorFlow, PyTorch, or Hugging Face. Knowledge of API development and integration (e.g., REST, GraphQL). Strong understanding of NLP concepts like tokenization, embeddings, and text classification. Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) for model deployment. Familiarity with version control systems like Git and CI/CD pipelines.

Preferred Qualifications:
Knowledge of fine\\-tuning and training LLMs. Experience in conversational design and chatbot development. Understanding of ethical AI practices and bias mitigation strategies. Strong analytical and problem\\-solving skills. Excellent communication skills to work with diverse teams.","","https://www.glassdoor.co.in/Overview/W-EI_IE15518.htm","https://media.glassdoor.com/sql/15518/marlabs-squarelogo-1435754175206.png","","","","",""
25,"gd-1009552081045","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552081045","","Web Developer","Quinx Innovations Pvt Ltd","Bengaluru","2024-12-04","","direct_data","monthly",6000.0,10000.0,"INR",False,"","","organic","","","","","","","","","",""
26,"gd-1009550762913","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550762913","","Developer","Sapiens","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3798.htm","https://media.glassdoor.com/sql/3798/sapiens-squareLogo-1655730847376.png","","","","",""
27,"gd-1009550952653","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550952653","","Software Engineer 2","Epsilon","Bengaluru","2024-12-04","","direct_data","yearly",525000.0,1000000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE39997.htm","https://media.glassdoor.com/sql/39997/epsilon-squareLogo-1675720065400.png","","","","",""
28,"gd-1009552164303","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552164303","","App Developer","Spintly India Private Limited","Bengaluru","2024-12-04","","direct_data","monthly",25000.0,30000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE5994647.htm","","","","","",""
29,"gd-1009550961113","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550961113","","React Native Developer","Ekaga Futuristics Private Limited","Bengaluru","2024-12-04","","direct_data","yearly",1000000.0,1600000.0,"INR",False,"","","organic","","","","","","","","","",""
30,"gd-1009552233051","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552233051","","React Native Developer","formonex solutions pvt ltd","Bengaluru","2024-12-04","","direct_data","yearly",475253.0,1331299.0,"INR",False,"","","organic","","","","","","","","","",""
31,"gd-1009552258909","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552258909","","Python Developer","Colortext digital solutions private limited","India","2024-12-04","","direct_data","yearly",600000.0,840000.0,"INR",False,"","","organic","","","","","","","","","",""
32,"gd-1009552225111","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552225111","","Java Developer","TrueFirms","Bengaluru","2024-12-04","","direct_data","yearly",800000.0,1800000.0,"INR",False,"","","organic","","","","","","","","","",""
33,"gd-1009551552267","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551552267","","Python API with DevOps Developer","CIGNEX Datamatics","Bengaluru","2024-12-04","","direct_data","yearly",500000.0,600000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE259938.htm","https://media.glassdoor.com/sql/259938/cignex-datamatics-squarelogo-1399560864968.png","","","","",""
