"","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
0,"gd-1009550835013","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550835013","","Full Stack Developer","Talenlio","Bengaluru","2024-12-04","","direct_data","yearly",1600000.0,1600000.0,"INR",False,"","","organic","","","","","","","","","",""
1,"gd-1009550899636","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550899636","","Full-Stack Developer for MES/CDL - i40 Shopfloor Analyzer","BSH Home Appliances Group","Bengaluru","2024-12-04","","direct_data","yearly",648500.0,915000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE13409.htm","https://media.glassdoor.com/sql/13409/bsh-hausgeräte-squareLogo-1704452587385.png","","","","",""
2,"gd-1009551791692","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551791692","","Site Reliability Developer","Oracle","Bengaluru","2024-12-04","","direct_data","yearly",712950.0,900000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1737.htm","https://media.glassdoor.com/sql/1737/oracle-squarelogo-1570718316042.png","","","","",""
3,"gd-1009550768696","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550768696","","Full_Stack_Developer_Senior_Consultant_T8","Daimler Truck AG","Bengaluru","2024-12-04","","direct_data","yearly",1000000.0,1000000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE6730755.htm","https://media.glassdoor.com/sql/6730755/daimler-truck-ag-squareLogo-1645554880712.png","","","","",""
4,"gd-1009551038823","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551038823","","ReactJS Developer","CGI","Bengaluru","2024-12-04","","direct_data","yearly",587430.0,656180.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8452.htm","https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png","","","","",""
5,"gd-1009551038831","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551038831","","SE- Full stack developer with Flask","CGI","Bengaluru","2024-12-04","","direct_data","yearly",569000.0,804500.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE8452.htm","https://media.glassdoor.com/sql/8452/cgi-squarelogo-1451998175252.png","","","","",""
6,"gd-1009552072169","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552072169","","Full Stack Web Developer","JoulestoWatts Business Solutions Pvt Ltd","India","2024-12-04","","direct_data","monthly",109700.0,142000.0,"INR",False,"","","organic","","","","","","","","","",""
7,"gd-1009551980904","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551980904","","MEAN Developer","ailoitte","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4327954.htm","https://media.glassdoor.com/sql/4327954/ailoitte-squareLogo-1692181246392.png","","","","",""
8,"gd-1009550848436","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009550848436","","MEVN Stack Developer","E9 India","India","2024-12-04","","direct_data","yearly",2500000.0,3500000.0,"INR",False,"","","organic","","","","","","","","","",""
9,"gd-1009552042435","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552042435","","Full Stack Java Developer","InfoEnum Software Systems","Bengaluru","2024-12-04","","direct_data","yearly",500000.0,800000.0,"INR",False,"","","organic","","","","","","","","","",""
10,"gd-1009552081045","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552081045","","Web Developer","Quinx Innovations Pvt Ltd","Bengaluru","2024-12-04","","direct_data","monthly",6000.0,10000.0,"INR",False,"","","organic","","","","","","","","","",""
11,"gd-1009552043909","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552043909","","Dot Net Developer required in Bangalore with minimum five year of experience","Vision tech","Bengaluru","2024-12-04","","direct_data","yearly",2700000.0,3300000.0,"INR",False,"","","organic","","","","","","","","","",""
12,"gd-1009552038306","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552038306","","Java Full Stack Developer","Futurerole Inc","India","2024-12-04","","direct_data","yearly",800000.0,1200000.0,"INR",False,"","","organic","","","","","","","","","",""
13,"gd-1009551211788","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551211788","","Senior Front-End Developer (React)","Granicus Inc.","Bengaluru","2024-12-04","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE228598.htm","https://media.glassdoor.com/sql/228598/granicus-squarelogo-1522027767375.png","","","","",""
14,"gd-1009551568712","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009551568712","","Operations Associate","AWS ProServe IN - Karnataka","Bengaluru","2024-12-04","","direct_data","yearly",264000.0,476882.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE6036.htm","https://media.glassdoor.com/sql/6036/amazon-squarelogo-1552847650117.png","","","","",""
15,"gd-1009552061057","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552061057","","Full Stack Java Developer","futurerole.inc","India","2024-12-04","","direct_data","yearly",800000.0,1200000.0,"INR",False,"","","organic","","","","","","","","","",""
