company,description,job_url,text,title,llm_response
TVS Motor,"**About TVS Motor**
TVS Motor Company is a reputed two and three\\-wheeler manufacturer globally, championing progress through Sustainable Mobility with four state\\-of\\-the\\-art manufacturing facilities in Hosur, Mysuru and Nalagarh in India and Karawang in Indonesia. Rooted in our 100\\-year legacy of Trust, Value, and Passion for Customers and Exactness, we take pride in making internationally aspirational products of the highest quality through innovative and sustainable processes. We are the only two\\-wheeler company to have received the prestigious Deming Prize. Our products lead in their respective categories in the J.D. Power IQS and APEAL surveys. We have been ranked No. 1 Company in the J.D. Power Customer Service Satisfaction Survey for consecutive four years. Our group company Norton Motorcycles, based in the United Kingdom, is one of the most emotive motorcycle brands in the world. Our subsidiaries in the personal e\\-mobility space, Swiss E\\-Mobility Group (SEMG) and EGO Movement have a leading position in the e\\-bike market in Switzerland. TVS Motor Company endeavors to deliver the most superior customer experience across 80 countries in which we operate. For more information, please visit www.tvsmotor.com. **Software Research \\& Development Organization**
The TVSM Software Research and Development Organization is a technology first Organization which is responsible for building Software tech stack for all TVSM Products to make TVSM Customer’s mobility Connected, safer, sustainable, and comfortable in a new way. We are building technology and software platforms for all next\\-gen Connected Vehicle, Infotainment, e\\-Mobility, Connected Services and Post SOP/Service for all TVSM’s brands. We build the unthinkable across geographies exceeding all quality, cost, scalability, competitive and performance benchmarks. Our mission is to transform Consumer experience and increase Perceived value of our products \\& Services to achieve highest degree of Customer Satisfaction \\& Trust.**About the role**
The Lead Test Engineer will design, implement \\& execute System and Software Complaint level test cases for Verification \\& Validation SW CoC team software following SDLC best practices. **Job Responsibilities**
Ø Lead, develop and mentor a group of test engineers in the area of ADAS/AD system testing
Ø Lead team to excellence and to become self\\-directed with agile methodology
Ø Lead project management activities wrt project planning, task scheduling, project execution, risk analysis \\& mitigation
Ø Review System Test \\& Development Concept, Development and processes, identify and improve as part of continuous improvement as well as to ensure implementation and adherence
Ø Developing Test cases for various products as per OEM project SW release strategy
Ø Close communication with project responsible for alignment and reporting
Ø Participation in Technical reviews and project meetings.
Ø Ownership of tasks in terms of timely completion with proper quality as per TVSM standard.
Ø Deriving Test concepts using ASPICE \\& ISO 26262 Requirement analysis for Controller Software.
Ø Responsible for designing of optimized and effective test cases by applying various test design techniques.
Ø Knowledge about Automation and willingness to learn new tools.
Ø Manual Execution of test cases.
Ø Explore and apply different test approaches and practices for identifying s/w defects early in the product life cycle.
Ø Use of HIL testing to validate Implemented Software
Ø Ensure traceability and consistency to system and software requirements to Test cases. **Key KPI**
Ø Knowledge of scripting languages such as Python/C\\+\\+
Ø CAPL scripting, XML,
Ø System testing skills with HIL exposure \\[ Carmaker, VTD etc.]
Ø Automotive system knowledge (ECU, Sensors, Software, Actuators) and technical mindset
Ø Experience in Cluster, ADAS \\-ASW features, Infotainment, Carplay, AndroidAuto
Ø Implement Test cases to meet 100% Test coverage of Compute requirements.
Ø Accountability for Software test case implementation in the product,",https://in.indeed.com/viewjob?jk=a2d72d918efb4a99,"Lead Software V&V Test Engineer: **About TVS Motor**
TVS Motor Company is a reputed two and three\\-wheeler manufacturer globally, championing progress through Sustainable Mobility with four state\\-of\\-the\\-art manufacturing facilities in Hosur, Mysuru and Nalagarh in India and Karawang in Indonesia. Rooted in our 100\\-year legacy of Trust, Value, and Passion for Customers and Exactness, we take pride in making internationally aspirational products of the highest quality through innovative and sustainable processes. We are the only two\\-wheeler company to have received the prestigious Deming Prize. Our products lead in their respective categories in the J.D. Power IQS and APEAL surveys. We have been ranked No. 1 Company in the J.D. Power Customer Service Satisfaction Survey for consecutive four years. Our group company Norton Motorcycles, based in the United Kingdom, is one of the most emotive motorcycle brands in the world. Our subsidiaries in the personal e\\-mobility space, Swiss E\\-Mobility Group (SEMG) and EGO Movement have a leading position in the e\\-bike market in Switzerland. TVS Motor Company endeavors to deliver the most superior customer experience across 80 countries in which we operate. For more information, please visit www.tvsmotor.com. **Software Research \\& Development Organization**
The TVSM Software Research and Development Organization is a technology first Organization which is responsible for building Software tech stack for all TVSM Products to make TVSM Customer’s mobility Connected, safer, sustainable, and comfortable in a new way. We are building technology and software platforms for all next\\-gen Connected Vehicle, Infotainment, e\\-Mobility, Connected Services and Post SOP/Service for all TVSM’s brands. We build the unthinkable across geographies exceeding all quality, cost, scalability, competitive and performance benchmarks. Our mission is to transform Consumer experience and increase Perceived value of our products \\& Services to achieve highest degree of Customer Satisfaction \\& Trust.**About the role**
The Lead Test Engineer will design, implement \\& execute System and Software Complaint level test cases for Verification \\& Validation SW CoC team software following SDLC best practices. **Job Responsibilities**
Ø Lead, develop and mentor a group of test engineers in the area of ADAS/AD system testing
Ø Lead team to excellence and to become self\\-directed with agile methodology
Ø Lead project management activities wrt project planning, task scheduling, project execution, risk analysis \\& mitigation
Ø Review System Test \\& Development Concept, Development and processes, identify and improve as part of continuous improvement as well as to ensure implementation and adherence
Ø Developing Test cases for various products as per OEM project SW release strategy
Ø Close communication with project responsible for alignment and reporting
Ø Participation in Technical reviews and project meetings.
Ø Ownership of tasks in terms of timely completion with proper quality as per TVSM standard.
Ø Deriving Test concepts using ASPICE \\& ISO 26262 Requirement analysis for Controller Software.
Ø Responsible for designing of optimized and effective test cases by applying various test design techniques.
Ø Knowledge about Automation and willingness to learn new tools.
Ø Manual Execution of test cases.
Ø Explore and apply different test approaches and practices for identifying s/w defects early in the product life cycle.
Ø Use of HIL testing to validate Implemented Software
Ø Ensure traceability and consistency to system and software requirements to Test cases. **Key KPI**
Ø Knowledge of scripting languages such as Python/C\\+\\+
Ø CAPL scripting, XML,
Ø System testing skills with HIL exposure \\[ Carmaker, VTD etc.]
Ø Automotive system knowledge (ECU, Sensors, Software, Actuators) and technical mindset
Ø Experience in Cluster, ADAS \\-ASW features, Infotainment, Carplay, AndroidAuto
Ø Implement Test cases to meet 100% Test coverage of Compute requirements.
Ø Accountability for Software test case implementation in the product, TVS Motor",Lead Software V&V Test Engineer,
Ivanti,"**Who We Are:**



In today's work environment, employees use a myriad of devices to access IT applications and data over multiple networks to stay productive, wherever and however they work. Ivanti elevates and secures Everywhere Work so that people and organizations can thrive.  

While our headquarters is in the U.S., half of our employees and customers are outside the country. We have 36 offices in 23 nations, with significant offices in London, Frankfurt, Paris, Sydney, Shanghai, Singapore, and other major cities around the world.  

Ivanti's mission is to be a global technology leader enabling organizations to elevate Everywhere Work, automating tasks that discover, manage, secure, and service all their IT assets. Through diverse and inclusive hiring, decision\\-making, and commitment to our employees and partners, we will continue to build and deliver world\\-class solutions for our customers.


**Our Culture \\- Everywhere Work Centered Around You**

  

At Ivanti, our success begins with our people. This is why we embrace Everywhere Work across the globe, where Ivantians and our customers are thriving. We believe in a healthy work\\-life blend and act on it by fostering a culture where all perspectives are heard, respected, and valued. Through Ivanti's Centered Around You approach, our employees benefit from programs focused on their professional development and career growth.  

We align through our core values by locking arms in collaboration, being champions for our customers, focusing on the outcomes that matter most and fighting the good fight against cyber\\-attacks. Are you ready to join us on the journey to elevate Everywhere Work?


**Why We Need you!**


* Design and build world class systems for Ivanti products like Mobile Device management, ITSM \\& Neurons.
* Influence and drive the technical vision of our systems.
* Explore areas for integration with other Ivanti products.
* Understand mobile platform technology and define approaches/solutions for critical problems.
* Work closely with design teammates and review their work.
* Work closely with the product managers and stakeholders to help shape our product vision.
* Run experiments in a fast\\-paced, analytical culture so we can quickly learn and adapt your work.
* Guide and mentor other engineers on the team.
* Be the technical leadership for projects to design solutions and break down work on complex problems delivered by multiple engineers
* Define incremental approaches to innovation and adoption of new technologies into our architecture.


  

**What You Will Be Doing:**

You are enthusiastic about sharing in defining our products and shaping ambiguous business goals into working software solutions. You are comfortable taking initiative and working across teams in a relatively unstructured environment. You have well\\-honed, insightful architectural design instincts and enjoy building simple and elegant systems that will scale to support millions of users. You get satisfaction from knowing that you helped connect people to that perfect job that's just right for them.


**To Be Successful in The Role, You Will Have:**


* Deep experience in software development and architecture.
* Experience delivering high\\-quality, maintainable, and reusable software systems
* Design solutions and break down work on complex problems delivered by multiple engineers incrementally.
* Passionate about using data\\-driven approaches to solve the challenging problems.
* Experience with test driven development.
* Have strong ownership of your work and the problems you solve.
* Naturally collaborate and help make others around you successful.
* Experience with Agile, Object\\-Oriented modeling, web services, middleware, and database.

  

**Preferred Qualifications**


* 13\\+ years of Experience with mobile app development on Android platform.
* Experience building complex software systems that have been successfully delivered to production.
* The ability to distill problem definitions and constraints from informal and ambiguous business requirements.
* Experience building high\\-performance, highly available and scalable distributed systems.
* Experience driving the technical elements of projects across multiple engineering teams
* **Experience with Java \\& Kotlin programming language.**
* MS in Computer Science or related area, or relevant work experience.


*This job posting will remain active until a qualified candidate is identified.*  

*At Ivanti, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Ivanti believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.*  

*If you require special assistance for the best interview experience*, *please contact us at* *recruiting@ivanti.com* *.*


*\\#LI\\-IP2*",https://in.indeed.com/viewjob?jk=421cefd00a8d6494,"Principal Software Engineer - Android platform (Java & Kotlin): **Who We Are:**



In today's work environment, employees use a myriad of devices to access IT applications and data over multiple networks to stay productive, wherever and however they work. Ivanti elevates and secures Everywhere Work so that people and organizations can thrive.  

While our headquarters is in the U.S., half of our employees and customers are outside the country. We have 36 offices in 23 nations, with significant offices in London, Frankfurt, Paris, Sydney, Shanghai, Singapore, and other major cities around the world.  

Ivanti's mission is to be a global technology leader enabling organizations to elevate Everywhere Work, automating tasks that discover, manage, secure, and service all their IT assets. Through diverse and inclusive hiring, decision\\-making, and commitment to our employees and partners, we will continue to build and deliver world\\-class solutions for our customers.


**Our Culture \\- Everywhere Work Centered Around You**

  

At Ivanti, our success begins with our people. This is why we embrace Everywhere Work across the globe, where Ivantians and our customers are thriving. We believe in a healthy work\\-life blend and act on it by fostering a culture where all perspectives are heard, respected, and valued. Through Ivanti's Centered Around You approach, our employees benefit from programs focused on their professional development and career growth.  

We align through our core values by locking arms in collaboration, being champions for our customers, focusing on the outcomes that matter most and fighting the good fight against cyber\\-attacks. Are you ready to join us on the journey to elevate Everywhere Work?


**Why We Need you!**


* Design and build world class systems for Ivanti products like Mobile Device management, ITSM \\& Neurons.
* Influence and drive the technical vision of our systems.
* Explore areas for integration with other Ivanti products.
* Understand mobile platform technology and define approaches/solutions for critical problems.
* Work closely with design teammates and review their work.
* Work closely with the product managers and stakeholders to help shape our product vision.
* Run experiments in a fast\\-paced, analytical culture so we can quickly learn and adapt your work.
* Guide and mentor other engineers on the team.
* Be the technical leadership for projects to design solutions and break down work on complex problems delivered by multiple engineers
* Define incremental approaches to innovation and adoption of new technologies into our architecture.


  

**What You Will Be Doing:**

You are enthusiastic about sharing in defining our products and shaping ambiguous business goals into working software solutions. You are comfortable taking initiative and working across teams in a relatively unstructured environment. You have well\\-honed, insightful architectural design instincts and enjoy building simple and elegant systems that will scale to support millions of users. You get satisfaction from knowing that you helped connect people to that perfect job that's just right for them.


**To Be Successful in The Role, You Will Have:**


* Deep experience in software development and architecture.
* Experience delivering high\\-quality, maintainable, and reusable software systems
* Design solutions and break down work on complex problems delivered by multiple engineers incrementally.
* Passionate about using data\\-driven approaches to solve the challenging problems.
* Experience with test driven development.
* Have strong ownership of your work and the problems you solve.
* Naturally collaborate and help make others around you successful.
* Experience with Agile, Object\\-Oriented modeling, web services, middleware, and database.

  

**Preferred Qualifications**


* 13\\+ years of Experience with mobile app development on Android platform.
* Experience building complex software systems that have been successfully delivered to production.
* The ability to distill problem definitions and constraints from informal and ambiguous business requirements.
* Experience building high\\-performance, highly available and scalable distributed systems.
* Experience driving the technical elements of projects across multiple engineering teams
* **Experience with Java \\& Kotlin programming language.**
* MS in Computer Science or related area, or relevant work experience.


*This job posting will remain active until a qualified candidate is identified.*  

*At Ivanti, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Ivanti believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.*  

*If you require special assistance for the best interview experience*, *please contact us at* *recruiting@ivanti.com* *.*


*\\#LI\\-IP2* Ivanti",Principal Software Engineer - Android platform (Java & Kotlin),
Analog Devices,N/A,https://www.glassdoor.co.in/job-listing/j?jl=1009550580505,Associate Software Engineer – Embedded Testing: N/A Analog Devices,Associate Software Engineer – Embedded Testing,
Wipro Limited,"Overview:  


**Role Purpose**


*The purpose of this role is to design, test and maintain software programs for operating systems or applications which needs to be deployed at a client end and ensure its meet 100% quality assurance parameters*

**Do**

* **Instrumental in understanding the requirements and design of the product/ software**

	+ *Develop software solutions by studying information needs, studying systems flow, data usage and work processes*

	+ *Investigating problem areas followed by the software development life cycle*

	+ *Facilitate root cause analysis of the system issues and problem statement*

	+ *Identify ideas to improve system performance and impact availability*

	+ *Analyze client requirements and convert requirements to feasible design*

	+ *Collaborate with functional teams or systems analysts who carry out the detailed investigation into software requirements*

	+ *Conferring with project managers to obtain information on software capabilities*
* **Perform coding and ensure optimal software/ module development**
	+ *Determine operational feasibility by evaluating analysis, problem definition, requirements, software development and proposed software*

	+ *Develop and automate processes for software validation by* *setting up and designing test cases/scenarios/usage cases, and executing these cases*

	+ *Modifying software to fix errors, adapt it to new hardware, improve its performance, or upgrade interfaces.*

	+ *Analyzing information to recommend and plan the installation of new systems or modifications of an existing system*

	+ *Ensuring that code is error free or has no bugs and test failure*
	+ *Preparing reports on programming project specifications, activities and status*

	+ *Ensure all the codes are raised as per the norm defined for project / program / account with clear description and replication patterns*

	+ *Compile timely, comprehensive and accurate documentation and reports as requested*

	+ *Coordinating with the team on daily project status and progress and documenting it*

	+ *Providing feedback on usability and serviceability, trace the result to quality risk and report it to concerned stakeholders*
* **Status Reporting and Customer Focus on an ongoing basis with respect to project and its execution**

	+ *Capturing all the requirements and clarifications from the client for better quality work*

	+ *Taking feedback on the regular basis to ensure smooth and on time delivery*

	+ *Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.*

	+ *Consulting with engineering staff to evaluate software\\-hardware interfaces and develop specifications and performance requirements*
	+ *Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code*
	+ *Documenting very necessary details and reports in a formal way for proper understanding of software from client proposal to implementation*
	+ *Ensure good quality of interaction with customer w.r.t. e\\-mail content, fault report tracking, voice calls, business etiquette etc*
	+ *Timely Response to customer requests and no instances of complaints either internally or externally*
***Stakeholder Interaction***

***Stakeholder Type***

  

***Stakeholder Identification***

  

***Purpose of Interaction***

  

  

***Internal***

  

*Lead Software Developer and Project Manager*

  

*Regular reporting \\& updates*

  

  

*Software Developers*

*For work coordination and support in providing testing solutions*

  

***External***

  

*Clients*

  

*Provide apt solutions and support as per the requirement*

  

**Display**

*Lists the competencies required to perform this role effectively:*

* ***Functional Competencies/ Skill***
	+ Leveraging Technology \\- Knowledge of current and upcoming technology along with expertise in programming (automation, tools and systems) to build efficiencies and effectiveness in own function/ Client organization \\- ***Competent***
	+ Process Excellence \\- Ability to follow the standards and norms to produce consistent results, provide effective control and reduction of risk \\- ***Expert***
	+ Technical knowledge \\- knowledge of various programming languages, tools, quality management standards and processes \\- ***Expert***
  

***Competency Levels***

  

  

***Foundation***

  

*Knowledgeable about the competency requirements. Demonstrates (in parts) frequently with minimal support and guidance.*

  

  

***Competent***

  

*Consistently demonstrates the full range of the competency without guidance. Extends the competency to difficult and unknown situations as well.*

  

  

***Expert***

  

*Applies the competency in all situations and is serves as a guide to others as well.*

  

  

***Master***

  

*Coaches others and builds organizational capability in the competency area. Serves as a key resource for that competency and is recognised within the entire organization.*

  

* ***Behavioral Competencies***
	+ *Formulation \\& Prioritization*
	+ *Innovation*
	+ *Managing Complexity*
	+ *Execution Excellence*
	+ *Passion for Results*

**Deliver**

***No.***

  

***Performance Parameter***

  

***Measure***

  

  

1\\.

  

Continuous Integration, Deployment \\& Monitoring of Software

  

100% error free on boarding \\& implementation, throughput %, Adherence to the schedule/ release plan

  

  

2\\.

  

Quality \\& CSAT

  

On\\-Time Delivery, Manage software, Troubleshoot queries


Customer experience, completion of assigned certifications for skill upgradation

  

  

3\\.

  

MIS \\& Reporting

  

100% on time MIS \\& report generation",https://www.glassdoor.co.in/job-listing/j?jl=1009543312655,"ADL - Developer: Overview:  


**Role Purpose**


*The purpose of this role is to design, test and maintain software programs for operating systems or applications which needs to be deployed at a client end and ensure its meet 100% quality assurance parameters*

**Do**

* **Instrumental in understanding the requirements and design of the product/ software**

	+ *Develop software solutions by studying information needs, studying systems flow, data usage and work processes*

	+ *Investigating problem areas followed by the software development life cycle*

	+ *Facilitate root cause analysis of the system issues and problem statement*

	+ *Identify ideas to improve system performance and impact availability*

	+ *Analyze client requirements and convert requirements to feasible design*

	+ *Collaborate with functional teams or systems analysts who carry out the detailed investigation into software requirements*

	+ *Conferring with project managers to obtain information on software capabilities*
* **Perform coding and ensure optimal software/ module development**
	+ *Determine operational feasibility by evaluating analysis, problem definition, requirements, software development and proposed software*

	+ *Develop and automate processes for software validation by* *setting up and designing test cases/scenarios/usage cases, and executing these cases*

	+ *Modifying software to fix errors, adapt it to new hardware, improve its performance, or upgrade interfaces.*

	+ *Analyzing information to recommend and plan the installation of new systems or modifications of an existing system*

	+ *Ensuring that code is error free or has no bugs and test failure*
	+ *Preparing reports on programming project specifications, activities and status*

	+ *Ensure all the codes are raised as per the norm defined for project / program / account with clear description and replication patterns*

	+ *Compile timely, comprehensive and accurate documentation and reports as requested*

	+ *Coordinating with the team on daily project status and progress and documenting it*

	+ *Providing feedback on usability and serviceability, trace the result to quality risk and report it to concerned stakeholders*
* **Status Reporting and Customer Focus on an ongoing basis with respect to project and its execution**

	+ *Capturing all the requirements and clarifications from the client for better quality work*

	+ *Taking feedback on the regular basis to ensure smooth and on time delivery*

	+ *Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.*

	+ *Consulting with engineering staff to evaluate software\\-hardware interfaces and develop specifications and performance requirements*
	+ *Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code*
	+ *Documenting very necessary details and reports in a formal way for proper understanding of software from client proposal to implementation*
	+ *Ensure good quality of interaction with customer w.r.t. e\\-mail content, fault report tracking, voice calls, business etiquette etc*
	+ *Timely Response to customer requests and no instances of complaints either internally or externally*
***Stakeholder Interaction***

***Stakeholder Type***

  

***Stakeholder Identification***

  

***Purpose of Interaction***

  

  

***Internal***

  

*Lead Software Developer and Project Manager*

  

*Regular reporting \\& updates*

  

  

*Software Developers*

*For work coordination and support in providing testing solutions*

  

***External***

  

*Clients*

  

*Provide apt solutions and support as per the requirement*

  

**Display**

*Lists the competencies required to perform this role effectively:*

* ***Functional Competencies/ Skill***
	+ Leveraging Technology \\- Knowledge of current and upcoming technology along with expertise in programming (automation, tools and systems) to build efficiencies and effectiveness in own function/ Client organization \\- ***Competent***
	+ Process Excellence \\- Ability to follow the standards and norms to produce consistent results, provide effective control and reduction of risk \\- ***Expert***
	+ Technical knowledge \\- knowledge of various programming languages, tools, quality management standards and processes \\- ***Expert***
  

***Competency Levels***

  

  

***Foundation***

  

*Knowledgeable about the competency requirements. Demonstrates (in parts) frequently with minimal support and guidance.*

  

  

***Competent***

  

*Consistently demonstrates the full range of the competency without guidance. Extends the competency to difficult and unknown situations as well.*

  

  

***Expert***

  

*Applies the competency in all situations and is serves as a guide to others as well.*

  

  

***Master***

  

*Coaches others and builds organizational capability in the competency area. Serves as a key resource for that competency and is recognised within the entire organization.*

  

* ***Behavioral Competencies***
	+ *Formulation \\& Prioritization*
	+ *Innovation*
	+ *Managing Complexity*
	+ *Execution Excellence*
	+ *Passion for Results*

**Deliver**

***No.***

  

***Performance Parameter***

  

***Measure***

  

  

1\\.

  

Continuous Integration, Deployment \\& Monitoring of Software

  

100% error free on boarding \\& implementation, throughput %, Adherence to the schedule/ release plan

  

  

2\\.

  

Quality \\& CSAT

  

On\\-Time Delivery, Manage software, Troubleshoot queries


Customer experience, completion of assigned certifications for skill upgradation

  

  

3\\.

  

MIS \\& Reporting

  

100% on time MIS \\& report generation Wipro Limited",ADL - Developer,
Vikgol Technologies Private Limited,N/A,https://www.glassdoor.co.in/job-listing/j?jl=1009544137419,Django Developer Intern: N/A Vikgol Technologies Private Limited,Django Developer Intern,
Broadridge,N/A,https://www.glassdoor.co.in/job-listing/j?jl=1009543013408,Full Stack Engineer (Python) - Bangalore - Hybrid: N/A Broadridge,Full Stack Engineer (Python) - Bangalore - Hybrid,
Hiretick,"**Back End Vendavo CPQ Developer**

* **Location**: Bangalore
* **Education qualification**: B.E/B.Tech or other relevant degree in Computer science discipline
* **Role**: Mid Senior Developer
* **Experience**: 3 years of IT exposure and 1 to 2 years of relevant experience is Must

**Skills Required**:

* Good logical and problem\\-solving skills
* Experience working on Vendavo upgrade
* Experience on configuration and customization of Vendavo
* Knowledge on Price Manager, Profit Analyzer, and Quote for design modules of Vendavo
* Experience of bug fixing/issue resolution in a global environment is a must and critical skill
* Able to work highly independently and good team player skills
* Desire to work within a fast\\-paced, collaborative, and team\\-based support environment

Job Type: Full\\-time

Pay: ₹500,000\\.00 \\- ₹1,800,000\\.00 per year

Location Type:

* In\\-person

Schedule:

* Monday to Friday

Education:

* Bachelor's (Required)

Experience:

* Programming: 3 years (Required)
* total work: 3 years (Required)

Location:

* Bengaluru, Karnataka (Required)

Work Location: In person",https://in.indeed.com/viewjob?jk=a67caada300e4da4,"Back End Vendavo CPQ Developer: **Back End Vendavo CPQ Developer**

* **Location**: Bangalore
* **Education qualification**: B.E/B.Tech or other relevant degree in Computer science discipline
* **Role**: Mid Senior Developer
* **Experience**: 3 years of IT exposure and 1 to 2 years of relevant experience is Must

**Skills Required**:

* Good logical and problem\\-solving skills
* Experience working on Vendavo upgrade
* Experience on configuration and customization of Vendavo
* Knowledge on Price Manager, Profit Analyzer, and Quote for design modules of Vendavo
* Experience of bug fixing/issue resolution in a global environment is a must and critical skill
* Able to work highly independently and good team player skills
* Desire to work within a fast\\-paced, collaborative, and team\\-based support environment

Job Type: Full\\-time

Pay: ₹500,000\\.00 \\- ₹1,800,000\\.00 per year

Location Type:

* In\\-person

Schedule:

* Monday to Friday

Education:

* Bachelor's (Required)

Experience:

* Programming: 3 years (Required)
* total work: 3 years (Required)

Location:

* Bengaluru, Karnataka (Required)

Work Location: In person Hiretick",Back End Vendavo CPQ Developer,
Engagedly Labs,"**Company Overview**

Engagedly Inc. is a fast\\-paced growth provider and an award\\-winning Talent Management Software Solution provider. Built upon best practices and decades of research, Engagedly’s People \\+ Strategy platform is evolving performance management, development, and engagement to drive successful global organizational outcomes. Engagedly’s E3 unified platform combines the power of business strategy execution, talent enablement, and employee engagement into one easy\\-to\\-use software solution. This niche HRTech space is attracting attention from candidates who love challenges and want to learn new things every day in a product R\\&D environment.

**The Opportunities:**

We are looking for a Sr. Mobile Developer interested in building performant mobile apps on both the iOS and Android platforms. You will be responsible for architecting and building these applications, as well as coordinating with the teams responsible for other layers of the product infrastructure. Building a product is a highly collaborative effort and as such a strong team player with a commitment to perfection is required.

**Responsibilities:**

1\\. Diagnose and fix bugs and performance bottlenecks for performance that feels native.

2\\. Capable enough to mentor / guide team whenever needed for technical solutions.

3\\. Build new features / functionalities in the product in timely manner.

4\\. Architect, develop, and maintain high\\-quality React Native applications using clean code.

**Required Skills:**

1\\. Strong knowledge on JavaScript, TypeScript language and its nuances, including ES6\\+ syntax.

2\\. Diagnose and fix bugs and performance bottlenecks for performance that feels native.

3\\. Familiarity with native build tools, like XCode, Gradle.

4\\. Deliver long term architectural solutions for any new development within the product.\\&nbsp;

5\\. Familiarity with the release process is a plus.\\&nbsp;

6\\. Familiarity with CI/CD implementation is a plus.

Job Type: Full\\-time",https://in.indeed.com/viewjob?jk=74f88d1dd5b9df2c,"Sr. Mobile Developer: **Company Overview**

Engagedly Inc. is a fast\\-paced growth provider and an award\\-winning Talent Management Software Solution provider. Built upon best practices and decades of research, Engagedly’s People \\+ Strategy platform is evolving performance management, development, and engagement to drive successful global organizational outcomes. Engagedly’s E3 unified platform combines the power of business strategy execution, talent enablement, and employee engagement into one easy\\-to\\-use software solution. This niche HRTech space is attracting attention from candidates who love challenges and want to learn new things every day in a product R\\&D environment.

**The Opportunities:**

We are looking for a Sr. Mobile Developer interested in building performant mobile apps on both the iOS and Android platforms. You will be responsible for architecting and building these applications, as well as coordinating with the teams responsible for other layers of the product infrastructure. Building a product is a highly collaborative effort and as such a strong team player with a commitment to perfection is required.

**Responsibilities:**

1\\. Diagnose and fix bugs and performance bottlenecks for performance that feels native.

2\\. Capable enough to mentor / guide team whenever needed for technical solutions.

3\\. Build new features / functionalities in the product in timely manner.

4\\. Architect, develop, and maintain high\\-quality React Native applications using clean code.

**Required Skills:**

1\\. Strong knowledge on JavaScript, TypeScript language and its nuances, including ES6\\+ syntax.

2\\. Diagnose and fix bugs and performance bottlenecks for performance that feels native.

3\\. Familiarity with native build tools, like XCode, Gradle.

4\\. Deliver long term architectural solutions for any new development within the product.\\&nbsp;

5\\. Familiarity with the release process is a plus.\\&nbsp;

6\\. Familiarity with CI/CD implementation is a plus.

Job Type: Full\\-time Engagedly Labs",Sr. Mobile Developer,
Lowe's,N/A,https://www.glassdoor.co.in/job-listing/j?jl=1009526614493,Software Engineer_Java_Springboot_NoSQL_Kafka: N/A Lowe's,Software Engineer_Java_Springboot_NoSQL_Kafka,
Lenovo,N/A,https://www.glassdoor.co.in/job-listing/j?jl=1009527089297,"Engineer, Software: N/A Lenovo","Engineer, Software",
