"","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
0,"gd-1009553028796","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009553028796","","Web Developer - Jr","Equifax","Thiruvananthapuram","2024-12-05","","direct_data","yearly",455000.0,715000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE232.htm","https://media.glassdoor.com/sql/232/equifax-squarelogo-1488821254821.png","","","","",""
1,"gd-1009552365275","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552365275","","Al/ML Developer","Xanthus Innovations Pvt Ltd","","2024-12-05","","","","","","",True,"","","organic","","","","","","","","","",""
2,"gd-1009552656320","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552656320","","Java backend developer","Virtusa","","2024-12-05","","","","","","",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE29396.htm","https://media.glassdoor.com/sql/29396/virtusa-squareLogo-1684942244005.png","","","","",""
3,"gd-1009552496585","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552496585","","SE-Backend","PhonePe","Bengaluru","2024-12-05","","","","","","",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2289138.htm","https://media.glassdoor.com/sql/2289138/phonepe-squareLogo-1657272795056.png","","","","",""
4,"gd-1009553451549","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009553451549","","C Application Developer","Flexilant works pvt Ltd","","2024-12-05","","direct_data","yearly",1000000.0,4000000.0,"INR",True,"","","organic","","","","","","","","","",""
5,"gd-1009552606497","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552606497","",".Net Backend Developer","Victrix Systems & Labs","Pune","2024-12-05","","direct_data","yearly",312000.0,800000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE5931598.htm","","","","","",""
6,"gd-1009553346180","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009553346180","","Salesforce Developer","American Chase LLP","","2024-12-05","","direct_data","monthly",40000.0,50000.0,"INR",True,"","","organic","","","","","","","","","",""
7,"gd-1009552458179","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552458179","","SQL Developer","HiPaaS Inc","Pune","2024-12-05","","direct_data","yearly",200000.0,400000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE4347887.htm","https://media.glassdoor.com/sql/4347887/hipaas-squarelogo-1627531864331.png","","","","",""
8,"gd-1009552569401","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552569401","","Java Developer","Dhatsol","Hyderābād","2024-12-05","","direct_data","yearly",360000.0,800000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2115344.htm","https://media.glassdoor.com/sql/2115344/dhatsol-squarelogo-1560422769674.png","","","","",""
9,"gd-1009552358629","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552358629","","Power Platform Developer","Astriklo Studios","","2024-12-05","","direct_data","monthly",35000.0,45000.0,"INR",True,"","","organic","","","","","","","","","",""
