"","id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
0,"gd-1009552731427","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552731427","","Full Stack Developer","Ericsson","Noida","2024-12-05","","direct_data","yearly",540000.0,850000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE3472.htm","https://media.glassdoor.com/sql/3472/ericsson-worldwide-squareLogo-1633528460972.png","","","","",""
1,"gd-1009552243000","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552243000","","Full Stack Developer","Micorza Technology Private Limited","India","2024-12-05","","direct_data","yearly",800000.0,1800000.0,"INR",False,"","","organic","","","","","","","","","",""
2,"gd-1009553378116","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009553378116","","MERN / Full Stack Developer","Tier5 Technology Solution Pvt. Ltd","","2024-12-05","","direct_data","monthly",50000.0,100000.0,"INR",True,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE1343727.htm","https://media.glassdoor.com/sql/1343727/tier5-squarelogo-1501233352840.png","","","","",""
3,"gd-1009552195610","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552195610","","Junior Full Stack Developer","Digiastic LLP","Jaipur","2024-12-05","","direct_data","monthly",25000.0,45000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE2946046.htm","https://media.glassdoor.com/sql/2946046/viralchilly-squareLogo-1719892910682.png","","","","",""
4,"gd-1009552196770","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552196770","","Full Stack Developer","Sarvajith Infotech","India","2024-12-05","","direct_data","yearly",700000.0,1000000.0,"INR",False,"","","organic","","","","https://www.glassdoor.co.in/Overview/W-EI_IE7747162.htm","https://media.glassdoor.com/sql/7747162/sarvajith-infotech-squarelogo-1663245221949.png","","","","",""
5,"gd-1009552373228","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552373228","","Full Stack Developer","Wavity Pvt. Ltd.","India","2024-12-05","","direct_data","yearly",399771.0,1683252.0,"INR",False,"","","organic","","","","","","","","","",""
6,"gd-1009553411768","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009553411768","","Full Stack Developer Artificial intelligence","Flexilant","Chennai","2024-12-05","","direct_data","yearly",400000.0,1500000.0,"INR",False,"","","organic","","","","","","","","","",""
7,"gd-1009552077700","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552077700","","Full Stack Developer","Onevega system India Pvt Ltd","Gurgaon","2024-12-05","","direct_data","yearly",1000000.0,1200000.0,"INR",False,"","","organic","","","","","","","","","",""
8,"gd-1009552072169","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552072169","","Full Stack Web Developer","JoulestoWatts Business Solutions Pvt Ltd","India","2024-12-05","","direct_data","monthly",109700.0,142000.0,"INR",False,"","","organic","","","","","","","","","",""
9,"gd-1009552130881","glassdoor","https://www.glassdoor.co.in/job-listing/j?jl=1009552130881","","Full Stack Developer","DeepOrion Technologies","Jaipur","2024-12-05","","direct_data","yearly",1200000.0,1200000.0,"INR",False,"","","organic","","","","","","","","","",""
